age,gender,education_level,employment_type,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,default_flag,income_missing,join_year,join_month,join_day,join_weekday,education_encoded,gender_encoded,region_North,region_South,region_West,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,income_bin,transaction_quantile,transaction_cluster,income_standard,income_minmax,income_maxabs,debt_to_income,avg_monthly_transactions,spending_income_ratio,loan_log,loan_sqrt,loan_reciprocal,income_boxcox
59.0,Male,Secondary,Unemployed,513336.46,37038.53,664.5,3,229,99.66,0,0,2020,10,11,6,2,1,False,False,False,False,False,True,False,0,1,0,-0.059315199257533424,0.16373003447392154,0.20408384067206933,0.07215240048914412,38.166666666666664,0.00019414129644853892,10.51974099969473,192.45396852234563,2.6998182752318942e-05,0.28925441427290177
49.0,Female,Graduate,Salaried,955398.86,131678.27,595.7,0,97,20.04,1,0,2022,1,8,5,3,0,True,False,False,False,False,False,False,1,0,3,1.0736991926795492,0.3483885167810043,0.3798317164584738,0.13782529756703124,16.166666666666668,2.0975510714435313e-05,11.788124472153124,362.87500602824656,7.5942097795651515e-06,1.2582111459909198
35.0,Male,Graduate,Salaried,508690.13,82686.98,701.6,0,185,34.35,0,1,2024,1,6,5,3,1,False,False,False,False,False,False,True,0,1,0,-0.07122383197474494,0.16178916765037385,0.20223662944645357,0.16254849971533805,30.833333333333332,6.75262413166119e-05,11.322829525829125,287.55343851187035,1.2093656175903682e-05,0.27439720391103894
63.0,Female,Secondary,Self-Employed,503905.42,84807.48,607.3,3,178,29.8,0,0,2018,1,10,2,2,0,True,False,False,False,False,False,False,0,1,0,-0.08348713528044409,0.15979049667795112,0.20033440338344988,0.16830005857039884,29.666666666666668,5.9137964545083594e-05,11.348150816780327,291.21723850074534,1.1791273702818398e-05,0.25893371324796155
28.0,Male,Secondary,Salaried,393283.94,39114.18,686.5,2,358,27.23,0,1,2022,4,15,4,2,1,False,False,False,False,False,False,False,0,2,2,-0.36701210573117715,0.11358164786528732,0.1563553404132714,0.0994550668530557,59.666666666666664,6.923733209819832e-05,10.574265905923752,197.77305175377154,2.5565522132328164e-05,-0.15447703492467213
41.0,Female,Graduate,Salaried,568533.61,105554.95,575.7,1,358,49.92,1,0,2020,3,2,0,3,0,False,True,False,False,False,False,True,0,2,2,0.0821561526238071,0.1867870100200806,0.22602821291898184,0.1856614322916946,59.666666666666664,8.780468087949826e-05,11.566996423075627,324.8922128952924,9.473648808996557e-06,0.4547631395211661
59.0,Female,Primary,Salaried,602077.26,39748.2,663.6,3,223,49.44,0,0,2023,5,22,0,1,0,True,False,False,False,False,False,True,1,1,0,0.1681291695736774,0.2007988768968835,0.23936394387828222,0.06601832791637419,37.166666666666664,8.211557082296909e-05,10.590344994093789,199.36950619390117,2.5157739023678465e-05,0.5465691775678813
39.0,Male,Secondary,Salaried,1356233.95,45048.47,850.0,3,147,34.6,0,0,2020,12,14,0,2,1,True,False,False,False,False,False,False,2,1,0,2.101047200027371,0.515825510686894,0.5391891185088455,0.03321583033972101,24.5,2.551180383605363e-05,10.715516498261398,212.24624849452582,2.2197819419407152e-05,1.76650067492223
43.0,Female,Post-Graduate,Salaried,340888.79,77756.34,641.8,2,319,74.04,0,0,2022,7,21,3,4,0,False,True,False,False,True,False,False,0,2,2,-0.5013018779843755,0.09169512487836973,0.13552494109858182,0.22809817800644602,53.166666666666664,0.00021719629678553884,11.26134823073029,278.84823829459634,1.2860522234942708e-05,-0.3999684481780032
31.0,Male,Graduate,Salaried,178184.32,423002.06,668.1,3,438,52.5,0,0,2024,2,6,1,3,1,True,False,False,False,False,False,True,0,3,1,-0.9183165486338025,0.023730148678678738,0.07083958223645563,2.3739444977846658,73.0,0.0002946370666225478,12.955134692044803,650.3860853370096,2.364049092221697e-06,-1.5817784484070225
