customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST100000,59.0,Male,East,Secondary,Unemployed,513336.46,37038.53,Home,664.5,3,229,99.66,2020-10-11,0
CUST100001,49.0,Female,North,Graduate,,955398.86,131678.27,Business,595.7,0,97,20.04,2022-01-08,1
CUST100002,35.0,Male,East,Graduate,Salaried,,82686.98,Other,701.6,0,185,34.35,2024-01-06,0
CUST100003,63.0,Female,North,Secondary,Self-Employed,503905.42,84807.48,Business,607.3,3,178,29.8,2018-01-10,0
CUST100004,28.0,Male,East,Secondary,Salaried,,39114.18,Business,686.5,2,358,27.23,2022-04-15,0
CUST100005,41.0,Female,South,Graduate,Salaried,568533.61,105554.95,Other,575.7,1,358,49.92,2020-03-02,1
CUST100006,59.0,Female,North,Primary,Salaried,602077.26,39748.2,Other,663.6,3,223,49.44,2023-05-22,0
CUST100007,39.0,Male,North,Secondary,Salaried,1356233.95,45048.47,Business,850.0,3,147,34.6,2020-12-14,0
CUST100008,43.0,Female,South,Post-Graduate,Salaried,340888.79,77756.34,Education,641.8,2,319,74.04,2022-07-21,0
CUST100009,31.0,Male,North,Graduate,Salaried,178184.32,423002.06,Other,668.1,3,438,52.5,2024-02-06,0
CUST100010,31.0,Male,East,Secondary,Salaried,462045.25,82456.51,Home,661.8,2,397,62.32,2020-01-14,1
CUST100011,44.0,Male,East,Graduate,Unemployed,503191.46,12110.64,Car,695.7,1,286,20.18,2024-08-25,0
CUST100012,56.0,Male,North,Graduate,Salaried,,46641.64,Education,722.1,3,263,35.49,2019-03-27,0
CUST100013,60.0,Male,East,Post-Graduate,Salaried,471837.32,118020.12,Other,703.2,1,360,60.89,2021-01-21,0
CUST100014,44.0,Female,West,Graduate,Salaried,695976.76,33192.44,Other,705.1,2,51,14.62,2024-09-07,0
CUST100015,23.0,Female,North,Secondary,Self-Employed,1988259.14,130845.39,Education,663.7,2,9,50.69,2021-09-16,0
CUST100016,42.0,Female,South,Secondary,Salaried,,81729.84,Car,689.0,4,66,14.36,2022-09-28,0
